IP Mgmt,IP IN,Prefix IN,IP Out,Prefix Out,HostName,Chassis,Slot
100.64.78.121,100.64.73.22,26,100.64.73.150,25,ABR-SD-M-21,1,2
100.64.78.119,100.64.73.20,26,100.64.73.148,25,ABR-SD-M-19,1,3
100.64.78.122,100.64.73.23,26,100.64.73.151,25,ABR-SD-M-22,1,4
100.64.78.120,100.64.73.21,26,100.64.73.149,25,ABR-SD-M-20,1,5
100.64.78.123,100.64.73.24,26,100.64.73.152,25,ABR-SD-M-23,1,6
100.64.78.83,100.64.72.188,26,100.64.72.242,29,MUX-HD2-M-1,2,1
100.64.78.54,100.64.72.91,26,100.64.72.133,26,XCD_HD2-M-4,2,2
100.64.78.51,100.64.72.88,26,100.64.72.130,26,XCD_HD2-M-1,2,3
100.64.78.55,100.64.72.92,26,100.64.72.134,26,XCD_HD2-M-5,2,4
100.64.78.52,100.64.72.89,26,100.64.72.131,26,XCD_HD2-M-2,2,5
100.64.78.56,100.64.72.93,26,100.64.72.135,26,XCD_HD2-M-6,2,6
100.64.78.53,100.64.72.90,26,100.64.72.132,26,XCD_HD2-M-3,2,7
100.64.78.57,100.64.72.94,26,100.64.72.136,26,XCD_HD2-M-7,2,8
100.64.78.49,100.64.72.220,27,100.64.72.234,29,MUX_HD1-M-1,3,1
100.64.78.28,100.64.72.69,26,100.64.72.197,27,XCD_HD1-M-4,3,2
100.64.78.25,100.64.72.66,26,100.64.72.194,27,XCD_HD1-M-1,3,3
100.64.78.29,100.64.72.70,26,100.64.72.198,27,XCD_HD1-M-5,3,4
100.64.78.26,100.64.72.67,26,100.64.72.195,27,XCD_HD1-M-2,3,5
100.64.78.30,100.64.72.71,26,100.64.72.199,27,XCD_HD1-M-6,3,6
100.64.78.27,100.64.72.68,26,100.64.72.196,27,XCD_HD1-M-3,3,7
100.64.78.31,100.64.72.72,26,100.64.72.200,27,XCD_HD1-M-7,3,8
100.64.78.23,100.64.72.60,27,100.64.72.226,29,MUX_SD-M-1,4,1
100.64.78.136,100.64.73.69,26,100.64.73.165,25,ABR-HD-M-4,4,2
100.64.78.133,100.64.73.66,26,100.64.73.162,25,ABR-HD-M-1,4,3
100.64.78.137,100.64.73.70,26,100.64.73.166,25,ABR-HD-M-5,4,4
100.64.78.134,100.64.73.67,26,100.64.73.163,25,ABR-HD-M-2,4,5
100.64.78.138,100.64.73.71,26,100.64.73.167,25,ABR-HD-M-6,4,6
100.64.78.135,100.64.73.68,26,100.64.73.164,25,ABR-HD-M-3,4,7
100.64.78.139,100.64.73.72,26,100.64.73.168,25,ABR-HD-M-7,4,8
100.64.78.19,100.64.72.18,27,,,SMX_CTL-SD-M-1,5,1
100.64.78.6,100.64.72.5,27,100.64.72.37,27,XCD_SD-M-4,5,2
100.64.78.3,100.64.72.2,27,100.64.72.34,27,XCD_SD-M-1,5,3
100.64.78.7,100.64.72.6,27,100.64.72.38,27,XCD_SD-M-5,5,4
100.64.78.4,100.64.72.3,27,100.64.72.35,27,XCD_SD-M-2,5,5
100.64.78.8,100.64.72.7,27,100.64.72.39,27,XCD_SD-M-6,5,6
100.64.78.5,100.64.72.4,27,100.64.72.36,27,XCD_SD-M-3,5,7
100.64.78.9,100.64.72.8,27,100.64.72.40,27,XCD_SD-M-7,5,8
100.64.78.80,100.64.72.119,26,,,SMX_CTL-HD2-M-2,6,1
100.64.78.126,100.64.73.27,26,100.64.73.155,25,ABR-SD-M-26,6,2
100.64.78.124,100.64.73.25,26,100.64.73.153,25,ABR-SD-M-24,6,3
100.64.78.127,100.64.73.28,26,100.64.73.156,25,ABR-SD-M-27,6,4
100.64.78.125,100.64.73.26,26,100.64.73.154,25,ABR-SD-M-25,6,5
100.64.78.128,100.64.73.29,26,100.64.73.157,25,ABR-SD-M-28,6,6
100.64.78.79,100.64.72.118,26,,,SMX_CTL-HD2-M-1,7,1
100.64.78.61,100.64.72.98,26,100.64.72.140,26,XCD_HD2-M-11,7,2
100.64.78.58,100.64.72.95,26,100.64.72.137,26,XCD_HD2-M-8,7,3
100.64.78.62,100.64.72.99,26,100.64.72.141,26,XCD_HD2-M-12,7,4
100.64.78.59,100.64.72.96,26,100.64.72.138,26,XCD_HD2-M-9,7,5
100.64.78.63,100.64.72.100,26,100.64.72.142,26,XCD_HD2-M-13,7,6
100.64.78.60,100.64.72.97,26,100.64.72.139,26,XCD_HD2-M-10,7,7
100.64.78.64,100.64.72.101,26,100.64.72.143,26,XCD_HD2-M-14,7,8
100.64.78.47,100.64.72.116,26,,,SMX_CTL-HD1-M-1,8,1
100.64.78.35,100.64.72.76,26,100.64.72.204,27,XCD_HD1-M-11,8,2
100.64.78.32,100.64.72.73,26,100.64.72.201,27,XCD_HD1-M-8,8,3
100.64.78.36,100.64.72.77,26,100.64.72.205,27,XCD_HD1-M-12,8,4
100.64.78.33,100.64.72.74,26,100.64.72.202,27,XCD_HD1-M-9,8,5
100.64.78.37,100.64.72.78,26,100.64.72.206,27,XCD_HD1-M-13,8,6
100.64.78.34,100.64.72.75,26,100.64.72.203,27,XCD_HD1-M-10,8,7
100.64.78.38,100.64.72.79,26,100.64.72.207,27,XCD_HD1-M-14,8,8
100.64.78.140,100.64.73.73,26,100.64.73.169,25,ABR-HD-M-8,9,1
100.64.78.144,100.64.73.77,26,100.64.73.173,25,ABR-HD-M-12,9,2
100.64.78.141,100.64.73.74,26,100.64.73.170,25,ABR-HD-M-9,9,3
100.64.78.145,100.64.73.78,26,100.64.73.174,25,ABR-HD-M-13,9,4
100.64.78.142,100.64.73.75,26,100.64.73.171,25,ABR-HD-M-10,9,5
100.64.78.146,100.64.73.79,26,100.64.73.175,25,ABR-HD-M-14,9,6
100.64.78.143,100.64.73.76,26,100.64.73.172,25,ABR-HD-M-11,9,7
100.64.78.147,100.64.73.80,26,100.64.73.176,25,ABR-HD-M-15,9,8
100.64.78.20,100.64.72.19,27,,,SMX_CTL-SD-M-2,10,1
100.64.78.13,100.64.72.12,27,100.64.72.44,27,XCD_SD-M-11,10,2
100.64.78.10,100.64.72.9,27,100.64.72.41,27,XCD_SD-M-8,10,3
100.64.78.14,100.64.72.13,27,100.64.72.45,27,XCD_SD-M-12,10,4
100.64.78.11,100.64.72.10,27,100.64.72.42,27,XCD_SD-M-9,10,5
100.64.78.15,100.64.72.14,27,100.64.72.46,27,XCD_SD-M-13,10,6
100.64.78.12,100.64.72.11,27,100.64.72.43,27,XCD_SD-M-10,10,7
100.64.78.16,100.64.72.15,27,100.64.72.47,27,XCD_SD-M-14,10,8
